Word,Gender
hentai,m
triage,m
grimoire,m
paresseux,m
paresseux,m
algo,m
excuse,f
solution,f
panel,m
obligation,f
anhédonie,f
fiducie,f
pic,m
pic,m
rage,f
superman,m
genre,m
principal,m
patate,f
mousse de savon,f
tomahawk,m
hostie,f
prime,f
divorce,m
complexion,f
plug,m
augite,f
avers,m
corgi,m
choc,m
choc,m
anomie,f
agave,m
boyard,m
arsine,f
bayou,m
mors,m
cunnilingus,m
ados,m
lodge,m
anion,m
carlin,m
amide,m
hombre,m
arroyo,m
hall,m
export,m
bock,m
parvenu,m
casbah,f
brayer,m
balboa,m
argot,m
anode,f
copra,m
verbatim,m
butane,m
borate,m
